id;city;timezone
1;Sydney;Australia/Sydney
2;Melbourne;Australia/Melbourne
3;Brisbane;Australia/Brisbane
4;Perth;Australia/Perth
5;Adelaide;Australia/Adelaide
6;Gold Coast;Australia/Sydney
7;Cranbourne;Australia/Sydney
8;Canberra;Australia/Canberra
9;Newcastle;Australia/Sydney
10;Wollongong;Australia/Sydney
11;Geelong;Australia/Sydney
12;Hobart;Australia/Hobart
13;Townsville;Australia/Brisbane
14;Ipswich;Australia/Brisbane
15;Cairns;Australia/Brisbane
16;Toowoomba;Australia/Brisbane
17;Darwin;Australia/Darwin
18;Ballarat;Australia/Sydney
19;Bendigo;Australia/Sydney
20;Launceston;Australia/Sydney
21;Mackay;Australia/Brisbane
22;Rockhampton;Australia/Brisbane
23;Maitland;Australia/Sydney
24;Bunbury;Australia/Perth
